,user_id,car_id,rating,stop_times
180,s15087592s,K18306053r,1.31,0
181,Z55770988d,o-3515102Q,7.92,0
182,d97122617S,s-1113642y,3.19,1
183,V12912966o,v-2502243y,10.0,0
184,D95859162b,R16773550u,3.86,0
185,B18383636Y,m21557315K,8.12,1
186,n17742938w,L93331905w,4.02,1
187,g99845023F,N-1766675j,5.37,2
188,r15972260P,d-5980296U,2.65,1
189,A79045088T,r-1093205B,3.0,6
190,F10525768e,I98930031r,4.21,2
191,E69893354s,r66547692x,4.64,1
192,G18081306E,X10140728m,8.78,2
193,x85759486H,n28625799A,3.55,0
194,W22197171c,R-5598576l,0.7,1
195,j14684135P,P-7667678B,4.48,0
196,V14600176N,z10457360K,5.84,1
197,w21081115g,E-6273926P,5.18,2
198,d69804073L,F14265516N,3.49,1
199,o13763766w,q20118649S,5.07,2
200,E98019832i,j17532274g,4.93,8
201,E17159805p,f19927901y,5.58,2
202,k13231168Z,V-2775445H,0.81,3
203,o22651565B,i10002840y,3.0,0
204,N65016137n,C11147530X,2.95,6
205,j99167213w,T-9114355z,5.17,1
206,U34209070i,s18773736B,4.81,1
207,Q22101382B,d-2008716O,5.48,6
208,k17382685y,N-8998248z,5.04,1
209,r97525278s,G-1119002U,5.74,1
210,R14756132e,w30595040m,4.18,0
211,W96446386J,k13021113b,6.17,1
212,v53974313l,U-1298358e,5.56,1
213,Q94765269d,j21246192N,5.5,3
214,S17265537F,i15589390k,7.86,1
215,X17347876h,I-5434170l,5.39,0
216,D66570477i,z11424698a,1.89,13
217,y19603149x,y15784992m,6.4,2
218,D11878126x,p-2049920L,2.9,7
219,D11771773x,O62055401u,2.66,0
220,E16371584y,a22370652k,6.45,1
221,R15021216Z,h-2930740k,6.03,0
222,L46436019F,b-1699417D,4.33,1
223,a14647605G,N-9452332x,1.19,2
224,Z18411963n,p18227676S,3.21,1
225,S15262851A,a-1515400J,4.38,2
226,R14988793t,R39433396K,1.43,1
227,F18655767G,B-1223366j,4.99,0
228,I21339632F,c20402175f,0.92,2
229,h15031778V,R-7424780C,3.73,0
230,n17438464n,s16218530z,3.39,1
231,X84487465q,Q52925581k,1.69,1
232,w21406616p,C63413357V,3.73,0
233,Q18178741B,S71464104w,0.1,0
234,q11795691E,y19652944A,7.08,3
235,O14051668g,R-6844153a,5.43,0
236,I72247193V,c-4737890p,7.32,1
237,N18667850U,K-1744621w,7.93,1
238,c36722346T,o-1093440v,2.56,1
239,N13864943X,L-2169697n,6.48,0
240,G64097828L,V-1522589e,3.5,2
241,V22434387x,R-1779027F,3.79,1
242,g22230115j,i19613288g,4.77,2
243,l11248939N,N76275408I,3.47,0
244,n38194642Y,b-9715554C,2.75,3
245,W91399689r,g-2072833K,8.79,0
246,N11361080h,l-1379405m,3.61,1
247,I19201761U,V56226787D,1.24,1
248,s15596151o,u-2070489i,5.39,2
249,j14350851f,M21428480q,1.72,7
250,P25470476a,r-5223681u,1.59,1
251,n14886984n,d-3700930e,4.01,1
252,Y12871125S,N-9781014K,4.28,1
253,F11314936z,x20603919o,3.09,0
254,g22540962Z,K-1596430s,3.35,2
255,L13309119A,I77886789f,4.35,0
256,K11393467l,s16218530z,2.41,0
257,N13119438A,p25512710L,5.01,2
258,a20500738M,g-1495042h,3.53,1
259,E16223300A,A-5101478b,9.0,1
260,I47924541E,q-1756523i,2.81,1
261,I14539286a,O-1799431p,2.59,3
262,k20854236i,U-2283333k,4.71,1
263,H71721977M,a96529450S,1.35,0
264,g20717766k,n-3455333h,9.05,0
265,W12750562a,M20797256F,6.56,1
266,X17344900p,W15387724h,3.82,3
267,t11602140P,q20118649S,3.19,1
268,H19611845T,N-1839822D,1.71,1
269,Y14429106U,Y77058654W,0.63,1
270,a67624401Y,h-1723876L,7.65,0
271,Y61618130Y,T-4883335x,6.14,1
272,X19394008a,P22362100d,1.04,7
273,N67208768o,r18501621n,2.75,0
274,N14860470r,P58511672r,3.54,2
275,x16912598Y,l81011564d,7.01,0
276,d14469272U,W-9551883X,6.24,0
277,D91482563l,a13118905A,6.8,0
278,R19573779e,B-1790381b,6.53,2
279,a20870861k,U16614632F,4.01,0
280,G16722008g,z86911952C,4.86,1
281,S98334709L,c48174687o,1.21,0
282,e33578851c,X16721605D,4.18,0
283,e77648011m,n21726530a,6.0,1
284,F16688727P,m-3254742y,3.44,0
285,b83568629i,M14034762V,5.45,2
286,N22974268t,E-4032546h,4.12,3
287,V24799871H,X10967418c,2.96,0
288,V17330487f,A-1952360y,5.36,2
289,O80698817D,f10226409O,2.29,1
290,a78965066o,G14568186a,4.19,2
291,H18910035K,t14118502r,5.66,0
292,V20962517G,S-3511294t,5.68,0
293,P32611680g,I-2189520Y,6.19,0
294,B14946514i,b-7098808D,4.11,4
295,f17680504O,m-3164602H,1.69,0
296,T83434749r,P-1981563m,9.13,1
297,e19094780V,b41466140L,1.85,0
298,X93951763U,k-1039028Y,1.33,0
299,Y12695341i,v77404713z,1.36,0
